geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Syt5	4021.227208	0.304223751	0.086900639	3.500822953	0.000463824	0.008821796
Peg3	4217.716914	-0.577159959	0.147535125	-3.912017294	9.15e-05	0.002542767
Gltscr1	468.334678	-0.56566449	0.159047254	-3.556581316	0.000375712	0.007469861
Napa	11626.72031	0.285660613	0.060180511	4.746729608	2.07e-06	0.000124159
Slc1a5	1440.932616	-0.859814452	0.131019624	-6.562486027	5.29e-11	2.25e-08
Hif3a	104.2584336	-2.026694343	0.414332529	-4.891468085	1e-06	7.17e-05
Pvrl2	1719.047554	0.437744347	0.107933575	4.055682848	5e-05	0.001569473
Bcam	28009.44393	0.332874718	0.089436118	3.721927167	0.000197708	0.004563997
Ceacam10	304.136281	0.975059582	0.217665123	4.47963169	7.48e-06	0.000341404
Axl	1209.15304	-0.646039403	0.171566115	-3.765541956	0.000166188	0.003961253
Prx	12844.74732	-1.20390749	0.263157892	-4.574848507	4.77e-06	0.000237076
Plekhg2	645.3376458	-1.485746103	0.209772558	-7.082652365	1.41e-12	1.08e-09
Aplp1	10370.45144	0.379662808	0.099090419	3.831478489	0.000127376	0.003268853
Arhgap33	864.4064588	-0.881432136	0.235818632	-3.737754427	0.000185671	0.004350572
Lgi4	3432.874781	-0.857528325	0.146638113	-5.847922543	4.98e-09	8.48e-07
4931406P16Rik	922.0440756	-0.795177544	0.150489211	-5.283950513	1.26e-07	1.27e-05
Pepd	1659.118681	0.286811117	0.080135639	3.579070695	0.000344818	0.007039349
Zfp536	190.181157	-1.018150267	0.283552815	-3.590690034	0.000329804	0.006799969
EU599041	29.30840502	3.375874997	0.881030128	3.831736156	0.000127242	0.003268853
Kcnc3	3469.787528	-0.587191052	0.159076935	-3.691239407	0.000223164	0.005023445
Plekha4	5594.964033	-0.912470824	0.227961236	-4.002745552	6.26e-05	0.001876275
Mrgpra3	514.3168274	0.945233521	0.242629366	3.895791911	9.79e-05	0.00268822
Nav2	613.3837957	-0.881734529	0.244751594	-3.602569098	0.000315088	0.006561983
Ipw	176.536501	-1.452232762	0.341815457	-4.248587165	2.15e-05	0.000808751
Tjp1	1741.690331	-0.754546485	0.143373194	-5.262814219	1.42e-07	1.41e-05
Nr2f2	2086.737804	-0.53897841	0.15479488	-3.481887844	0.000497892	0.009250952
Rgma	557.7408986	-0.711866249	0.14109285	-5.045374364	4.53e-07	3.65e-05
Chd2	1261.871166	-0.488183138	0.121986981	-4.001928191	6.28e-05	0.00187888
Crtc3	883.8027573	-0.487090999	0.136803098	-3.56052608	0.000370113	0.007409418
Iqgap1	1477.089622	-0.599612191	0.139385522	-4.301825475	1.69e-05	0.000659099
Il16	793.9241296	-1.104847445	0.179881192	-6.142095403	8.14e-10	2.18e-07
Mesdc1	3239.305192	0.364833658	0.09257889	3.940786693	8.12e-05	0.002309437
Pcf11	642.3971926	-0.739654584	0.15391891	-4.805482194	1.54e-06	9.89e-05
Rsf1	1161.090981	-0.451810503	0.113192748	-3.991514569	6.57e-05	0.001935349
Apbb1	10906.91646	0.226421672	0.059132515	3.829055311	0.000128636	0.003295361
St5	700.0341719	-0.755101715	0.182338154	-4.1412162	3.45e-05	0.001171035
Swap70	572.6681809	-0.78695753	0.176187425	-4.466593056	7.95e-06	0.000359476
Sbf2	1371.932347	-0.789034961	0.117683525	-6.704718957	2.02e-11	1.01e-08
Tead1	1072.134266	-1.112663437	0.133513765	-8.333698301	7.84e-17	3.78e-13
Calcb	5565.908378	0.433089524	0.096004992	4.511114639	6.45e-06	0.000307039
Sox6	269.0076983	-0.967675319	0.223344866	-4.332650824	1.47e-05	0.000598982
Plekha7	506.0493875	-1.078121141	0.168546655	-6.39657395	1.59e-10	5.75e-08
Itpripl2	742.7246615	-0.756706253	0.163578876	-4.625941146	3.73e-06	0.000200933
Gprc5b	3585.005688	-0.525468341	0.121484335	-4.325399997	1.52e-05	0.000613033
Tnrc6a	2512.549754	-0.537488764	0.129009167	-4.166283507	3.1e-05	0.001078603
Coro1a	5081.532477	0.413448809	0.115859045	3.568550132	0.000358962	0.00725645
Aldoa	77593.04197	0.328842315	0.073367643	4.482116406	7.39e-06	0.000338519
Fam53b	1114.047408	-0.503038644	0.126371929	-3.980620135	6.87e-05	0.002001772
Ctbp2	419.4122294	-0.681818011	0.183032005	-3.725129988	0.000195215	0.004520858
Dock1	633.0392376	-0.86882403	0.163871515	-5.301861216	1.15e-07	1.17e-05
B230206H07Rik	323.9948773	-1.777689333	0.342886331	-5.184485862	2.17e-07	2e-05
Ap2a2	13239.3332	0.248697035	0.067663494	3.675497956	0.000237386	0.005269822
Th	4801.061787	0.557107007	0.135509808	4.111193257	3.94e-05	0.001315762
Kcnq1ot1	397.5897001	-1.79589955	0.473456775	-3.793164755	0.000148739	0.003645664
Slc22a18	682.9501619	0.646250913	0.162185507	3.984640336	6.76e-05	0.001976137
Dhcr7	3988.886327	0.295891772	0.084369259	3.507104076	0.000453012	0.008661684
Insr	1295.165922	-0.559804674	0.106554861	-5.253675593	1.49e-07	1.47e-05
Col4a1	2987.717738	-1.069178541	0.13765315	-7.767192676	8.02e-15	9.68e-12
Col4a2	1924.548876	-1.104241772	0.163611153	-6.749183992	1.49e-11	7.69e-09
Rasa3	937.4020406	-0.572711736	0.127586135	-4.488824262	7.16e-06	0.000333309
Arhgef10	1972.794604	-0.837697103	0.145829276	-5.744368522	9.23e-09	1.38e-06
Kat6a	946.8971354	-0.728650266	0.142659981	-5.10760102	3.26e-07	2.79e-05
Tacc1	3882.550857	-0.421880233	0.075978277	-5.552642767	2.81e-08	3.64e-06
Chrna6	2499.342876	0.438387813	0.113056686	3.877593004	0.000105495	0.002875583
Dusp26	9303.470316	0.328820014	0.092018105	3.57342734	0.000352339	0.007166678
Slc7a2	2874.891846	-0.914246419	0.100153308	-9.128469493	6.95e-20	1.01e-15
Fat1	1567.654035	-0.826034379	0.126925671	-6.508016652	7.61e-11	2.9e-08
Sorbs2	1045.707172	-0.604116982	0.141001901	-4.284459831	1.83e-05	0.00070704
Slc25a4	40803.07143	0.250227523	0.057404632	4.359012737	1.31e-05	0.000546542
Wwc2	619.3393765	-0.613385319	0.160732928	-3.816177089	0.000135535	0.003417823
Mfap3l	3052.521979	-0.416419401	0.109725504	-3.795101281	0.000147583	0.003632856
Cpe	37048.73965	0.313249693	0.075798789	4.132647742	3.59e-05	0.001204291
Zfp866	642.3749613	-0.562474955	0.13354193	-4.211972625	2.53e-05	0.000922946
Myo9b	1550.841707	-0.651398362	0.147784873	-4.407747203	1.04e-05	0.000451292
Mvb12a	1528.350247	0.390943678	0.111758945	3.498097423	0.00046859	0.008877448
Slc27a1	3116.687642	-0.561903438	0.11223873	-5.006323925	5.55e-07	4.29e-05
Nwd1	370.9963319	-0.850517464	0.222858279	-3.816405062	0.00013541	0.003417823
Hmox1	1034.426474	0.673729888	0.1596848	4.21912348	2.45e-05	0.000903258
Gab1	2287.66214	-0.430223618	0.098871117	-4.351357937	1.35e-05	0.000561698
Dnajb1	2179.181122	0.432237833	0.102993822	4.196735532	2.71e-05	0.000974978
Calr	11397.51132	0.312033243	0.081685721	3.819923981	0.000133493	0.003389781
Chd9	1779.280945	-0.412815915	0.116055935	-3.557042694	0.000375053	0.007467016
Mt2	951.8715632	-1.171889865	0.313212884	-3.741512319	0.000182916	0.004297937
Pllp	2167.950396	-0.910845734	0.17589748	-5.178276205	2.24e-07	2.01e-05
Ndrg4	124076.3137	0.151546433	0.040179775	3.771709385	0.000162133	0.003885287
Fhod1	186.502568	-1.022112444	0.244689799	-4.177176355	2.95e-05	0.00104706
Atp6v0d1	8930.396754	0.285482897	0.058288766	4.897734471	9.69e-07	7.02e-05
Cog4	3004.948009	0.416640324	0.095200038	4.376472241	1.21e-05	0.000511962
Fa2h	1318.611555	-1.444759284	0.181128191	-7.976446295	1.51e-15	2.31e-12
Maf	2308.836616	-0.411814886	0.10294146	-4.000476439	6.32e-05	0.001882665
Mbtps1	3107.506749	-0.283048002	0.080321186	-3.523951989	0.000425161	0.008216
Slc7a5	2871.029278	-0.438277663	0.114169394	-3.838836731	0.000123619	0.003218085
Zfp276	578.352539	-0.936037215	0.21702007	-4.31313663	1.61e-05	0.000634784
Tubb3	111951.7939	0.438611638	0.100973615	4.343824261	1.4e-05	0.000577408
Galnt2	1459.150024	-0.401153366	0.104415843	-3.841882152	0.000122094	0.003200127
2310022B05Rik	2327.961263	-0.442356956	0.111776302	-3.957520037	7.57e-05	0.002170582
Egln1	2261.441069	-0.381605738	0.087139555	-4.379248184	1.19e-05	0.000506971
Sipa1l2	1177.706355	-0.653574643	0.133259341	-4.904531563	9.37e-07	6.81e-05
Panx1	2933.014303	0.374422899	0.097117462	3.855361234	0.000115559	0.003057768
Zfp26	646.0771431	-0.63833046	0.172389416	-3.702840196	0.000213199	0.004844341
Col5a3	2951.049032	-1.531240472	0.296695433	-5.160984305	2.46e-07	2.17e-05
Dock6	611.6045959	-0.821632993	0.210620971	-3.901002779	9.58e-05	0.002644018
Eepd1	5678.828901	0.405408467	0.095663881	4.237842559	2.26e-05	0.000838463
Jam3	2124.234881	-0.544108462	0.149505795	-3.639380422	0.000273295	0.005847562
Adamts15	906.7638509	-0.45491889	0.123143472	-3.694218487	0.000220564	0.004972655
Zbtb44	941.5834394	-0.605155529	0.129219111	-4.683173595	2.82e-06	0.000159083
Tmem45b	6534.010886	0.411471901	0.118241454	3.47992932	0.000501546	0.009283092
Fez1	14384.50262	0.417199056	0.109526917	3.80910071	0.000139473	0.003498673
Hepacam	899.5487178	-0.700676865	0.153456281	-4.565970569	4.97e-06	0.000244772
Vwa5a	13003.23322	0.494998913	0.138993139	3.561319051	0.000368996	0.007397304
Hspa8	84468.58787	0.436020136	0.095532892	4.564083939	5.02e-06	0.000245315
2610203C20Rik	348.2848263	-0.768876561	0.211074968	-3.642670503	0.000269824	0.005809158
Bcl9l	484.0177928	-0.816055792	0.194177338	-4.202631481	2.64e-05	0.000954669
Phldb1	2357.248931	-0.741854824	0.143191147	-5.180870736	2.21e-07	2e-05
Kmt2a	2693.295802	-0.734884966	0.115215987	-6.378324626	1.79e-10	6.32e-08
Tmprss5	230.0076827	-1.165453621	0.335539668	-3.473370606	0.000513965	0.009464543
Dixdc1	375.3945983	-0.657293367	0.158990088	-4.134178279	3.56e-05	0.001199076
Gldn	818.1168316	-0.763429974	0.173305912	-4.405100582	1.06e-05	0.000455478
Peak1	1209.473474	-0.673584173	0.144927516	-4.647731453	3.36e-06	0.000185054
1700017B05Rik	209.3171072	-0.939167695	0.21926738	-4.283207535	1.84e-05	0.000707261
Ptplad1	9764.117524	0.190907716	0.053228807	3.586548817	0.000335083	0.006869683
Igdcc3	55.5650822	-1.519012654	0.425622085	-3.568923482	0.000358451	0.007256253
Snx1	2583.651212	0.271761271	0.074855135	3.630496044	0.000282877	0.005987117
Rab8b	1446.936734	-0.562440038	0.115969593	-4.849892311	1.24e-06	8.39e-05
Adam10	3896.941026	-0.392036689	0.091725415	-4.274024693	1.92e-05	0.000733155
Scg3	30734.10651	0.547211068	0.121387284	4.507976872	6.54e-06	0.000308983
Myo6	903.5762561	-0.867829291	0.18895916	-4.592681781	4.38e-06	0.000227011
Prss35	989.5102596	-0.789742978	0.106013818	-7.449434371	9.37e-14	9.69e-11
Slc9a9	9940.079227	0.32131559	0.076989429	4.173502686	3e-05	0.001058904
Atp1b3	19818.27851	0.329756447	0.085402525	3.861202529	0.00011283	0.003013111
Ppp2r3a	719.4354016	-0.680871709	0.142690397	-4.771671551	1.83e-06	0.000113496
Amotl2	780.1668091	-0.637511185	0.158885973	-4.01238179	6.01e-05	0.001808934
Cpne4	3486.480231	0.327868069	0.092217707	3.55536999	0.000377448	0.007487287
Alas1	1660.190839	0.506673182	0.127049164	3.988008791	6.66e-05	0.001956198
Tex264	3708.762608	0.360190306	0.094721761	3.802614115	0.000143177	0.003560735
Rad54l2	1192.655648	-0.501527392	0.121842846	-4.116182507	3.85e-05	0.001290596
Sema3b	5778.359441	-0.577358093	0.145308866	-3.973316344	7.09e-05	0.002055912
Dag1	6837.125013	-0.738416461	0.120034195	-6.151717541	7.66e-10	2.09e-07
Nckipsd	1987.267841	0.441926205	0.121381389	3.640806954	0.000271785	0.005827873
Col7a1	104.8988451	-2.073818438	0.495806759	-4.182715138	2.88e-05	0.001026899
Plxnb1	1080.853742	-1.131036088	0.196339228	-5.760622062	8.38e-09	1.29e-06
Mir6236	7912.690886	-2.966771186	0.637156574	-4.656267089	3.22e-06	0.000178565
Trank1	151.9830056	-1.295885433	0.31224158	-4.150265418	3.32e-05	0.001136329
Cmtm6	1512.802461	-0.560867536	0.125499437	-4.469084072	7.86e-06	0.000356429
Nktr	1828.969967	-0.905507767	0.251345902	-3.602635881	0.000315007	0.006561983
Fam198a	113.5041111	-1.034496166	0.275425128	-3.755997768	0.000172652	0.00409667
Lars2	507566.478	-2.716621324	0.547983532	-4.957487165	7.14e-07	5.41e-05
Fyco1	482.0780335	-0.664710765	0.187475721	-3.545583193	0.000391745	0.007714451
Ccdc22	411.8497564	0.958592874	0.188538048	5.084347075	3.69e-07	3.07e-05
Gria3	683.9665965	-0.626784812	0.119916972	-5.226823191	1.72e-07	1.66e-05
Firre	1556.9632	-1.396010093	0.320357166	-4.357667752	1.31e-05	0.000548326
Cdr1	1816.813818	-1.523656078	0.30313937	-5.026255995	5e-07	3.96e-05
Prrg3	1404.136676	-1.056245666	0.174507422	-6.052726305	1.42e-09	3.44e-07
Slc6a8	1914.383492	-0.507403176	0.122079278	-4.156341556	3.23e-05	0.001111797
Flna	2995.315457	-0.818197372	0.171399621	-4.773624161	1.81e-06	0.000112885
Dmd	1877.9327	-0.690588251	0.128746146	-5.363952805	8.14e-08	8.79e-06
Maged1	19586.29913	0.36773822	0.096592367	3.807114688	0.000140598	0.003511621
Stard8	623.0312111	-0.773390275	0.189299692	-4.085533711	4.4e-05	0.001420015
Foxo4	716.0740027	-0.744198373	0.181362836	-4.103367536	4.07e-05	0.001348631
Med12	910.0299083	-0.772275848	0.139550772	-5.53401344	3.13e-08	3.94e-06
Ftx	119.8233712	-1.468639973	0.406037305	-3.617007488	0.000298029	0.006260765
Magee1	8551.381193	0.425708434	0.122772584	3.46745519	0.000525411	0.009577838
Atrx	2011.770874	-0.606990711	0.087696542	-6.921489675	4.47e-12	2.7e-09
Itm2a	1041.665597	-0.696786662	0.179118284	-3.890092328	0.000100206	0.002741745
Diap2	619.8415615	-0.552471613	0.144091601	-3.834169442	0.000125989	0.003250568
Drp2	7162.635101	-1.453814785	0.266867114	-5.447710522	5.1e-08	5.86e-06
Morf4l2	9009.71989	0.33253483	0.088574349	3.754301702	0.000173825	0.004117756
Plp1	14752.40144	-0.546738502	0.093264057	-5.862263767	4.57e-09	7.95e-07
Zcchc18	9383.292271	0.464632051	0.10534777	4.41045927	1.03e-05	0.000448353
Maged2	1998.76989	0.406762597	0.109409191	3.71781011	0.000200957	0.004616913
Shroom2	732.7865689	-0.710540981	0.146734013	-4.842374072	1.28e-06	8.6e-05
Ubqln2	4849.474971	0.326729352	0.093474845	3.495371949	0.000473402	0.008910291
Pir	1037.977758	0.45812642	0.106883985	4.286202648	1.82e-05	0.000703395
Gpm6b	9595.715139	-0.806969002	0.101042355	-7.986442893	1.39e-15	2.31e-12
